,stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_day,market_segment_type,avg_price_per_room,booking_status
0,1,2,224,2017,10,2,Offline,65.0,1
1,2,3,5,2018,11,6,Online,106.68,1
2,2,1,1,2018,2,28,Online,60.0,0
3,0,2,211,2018,5,20,Online,100.0,0
4,1,1,48,2018,4,11,Online,94.5,0
5,0,2,346,2018,9,13,Online,115.0,0
6,1,3,34,2017,10,15,Online,107.55,1
7,1,3,83,2018,12,26,Online,105.61,1
8,0,4,121,2018,7,6,Offline,96.9,1
9,0,5,44,2018,10,18,Online,133.44,1
10,1,0,0,2018,9,11,Online,85.03,1
11,2,1,35,2018,4,30,Online,140.4,1
12,2,1,30,2018,11,26,Online,88.0,0
13,2,0,95,2018,11,20,Online,90.0,0
14,0,2,47,2017,10,20,Online,94.5,1
15,0,2,256,2018,6,15,Online,115.0,0
16,1,0,0,2017,10,5,Offline,96.0,1
17,1,3,1,2017,8,10,Online,96.0,1
18,2,2,99,2017,10,30,Online,65.0,0
19,1,0,12,2017,10,4,Offline,72.0,1
20,2,2,99,2017,10,30,Online,65.0,0
21,0,1,122,2018,11,25,Corporate,67.0,1
22,2,4,2,2018,3,20,Offline,85.0,1
23,0,3,37,2018,10,13,Offline,105.0,1
24,2,1,130,2018,5,22,Online,94.5,1
25,0,2,99,2018,4,28,Online,114.3,1
26,1,1,60,2017,9,21,Offline,65.0,1
27,0,2,2,2018,5,19,Aviation,110.0,0
28,1,2,37,2017,11,6,Online,37.33,0
29,0,2,56,2017,9,17,Offline,82.0,1
30,1,1,3,2017,9,19,Online,177.5,1
31,2,2,107,2018,11,13,Online,87.5,1
32,0,3,56,2018,12,7,Online,82.44,1
33,0,1,2,2018,1,9,Online,69.5,1
34,0,2,72,2018,10,7,Offline,85.5,1
35,0,1,23,2018,4,27,Online,115.0,1
36,2,1,34,2018,6,19,Online,81.0,0
37,0,1,289,2017,10,17,Offline,67.0,1
38,2,3,247,2018,11,19,Online,63.75,0
39,2,1,186,2018,7,30,Online,121.8,0
40,0,4,64,2018,11,1,Online,93.6,1
41,0,2,35,2018,6,21,Online,102.0,1
